source_id,reference_id,facility_name,subclass,country,state,latitude,longitude,status_2025,coordinate_quality,coordinate_source,source_url,review_status,review_notes
WorldBank_GFMR_2025,WB_INDIA_FLARE_0021,OFFSHORE,gas_flare,India,,19.33360285,72.02006956,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0022,ONSHORE,gas_flare,India,,22.21817124,73.06990113,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0023,ONSHORE,gas_flare,India,,22.22820866,73.01485255,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0024,ONSHORE,gas_flare,India,,22.25619635,72.99834311,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0025,ONSHORE,gas_flare,India,,22.25098684,73.07161599,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0026,ONSHORE,gas_flare,India,,23.42865375,72.30034093,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0027,ONSHORE,gas_flare,India,,27.53245367,95.4659716,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0028,ONSHORE,gas_flare,India,,27.53563911,95.40041024,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0029,ONSHORE,gas_flare,India,,25.98533537,71.3889254,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0030,OFFSHORE,gas_flare,India,,18.70407144,72.34439372,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0031,OFFSHORE,gas_flare,India,,18.70874885,72.3414357,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0032,ONSHORE,gas_flare,India,,22.80869221,72.56471225,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0033,ONSHORE,gas_flare,India,,22.82166005,72.58117836,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0034,ONSHORE,gas_flare,India,,10.80779896,79.74480447,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0035,ONSHORE,gas_flare,India,,10.84022789,79.777171,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0036,ONSHORE,gas_flare,India,,10.77593877,79.52570134,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0037,ONSHORE,gas_flare,India,,23.40430847,72.42235361,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0038,ONSHORE,gas_flare,India,,23.40825073,72.41735268,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0039,ONSHORE,gas_flare,India,,26.09178092,93.90288646,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0040,ONSHORE,gas_flare,India,,26.05920995,93.8934691,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0041,ONSHORE,gas_flare,India,,26.06449781,93.92962181,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0042,ONSHORE,gas_flare,India,,26.58241026,93.77654203,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0043,ONSHORE,gas_flare,India,,26.18884383,91.80815874,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0044,ONSHORE,gas_flare,India,,26.58133245,93.79051519,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0045,ONSHORE,gas_flare,India,,27.35192333,95.30764657,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0046,ONSHORE,gas_flare,India,,27.35345331,95.31879076,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0047,ONSHORE,gas_flare,India,,27.3314698,95.32578923,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0048,ONSHORE,gas_flare,India,,27.3940067,95.47278521,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
WorldBank_GFMR_2025,WB_INDIA_FLARE_0049,ONSHORE,gas_flare,India,,27.35849001,95.29569065,operating,HIGH,World Bank GFMR individual flare-location dataset,https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,CONFIRMED,World Bank GFMR 2025 flare location; external satellite-derived flare reference.
